,A#M,A#m,A#o,AM,Am,Ao,BM,Bm,Bo,C#M,C#m,C#o,CM,Cm,Co,D#M,D#m,D#o,DM,Dm,Do,EM,Em,End,Eo,F#M,F#m,F#o,FM,Fm,Fo,G#M,G#m,G#o,GM,Gm,Go
A#M,0.24222377,0.048553459,0.018276762,0.024378782,0.041291108,0,0.008559117,0.00880784,0.190104167,0.003658052,0.002679887,0.06557377,0.048160198,0.125043378,0.077702703,0.187754627,0.095991959,0.02393617,0.018255222,0.058515177,0.031413613,0.006971111,0.030081703,0,0.121293801,0.007009896,0.003995006,0.055702918,0.075862467,0.062085075,0.002777778,0.054151835,0.011690088,0.064102564,0.018357098,0.09029484,0.007853403
A#m,0.004410399,0.162138365,0.005221932,0.004523292,0.01680877,0.060913706,0.011864707,0.004838109,0.028645833,0.019483101,0.004153826,0,0.013197086,0.027414691,0.006756757,0.098475148,0.05440382,0.005319149,0.003218068,0.003901012,0.002617801,0.004312637,0.000990344,0,0.018867925,0.026743638,0.002122347,0.00795756,0.014537902,0.028768134,0.002777778,0.079068682,0.060564606,0.025641026,0.002713156,0.015724816,0.034031414
A#o,0.000348189,0.001132075,0.083550914,0.000176232,0.009866017,0.02284264,0.000590284,0.00545838,0,0.000715706,0.000937961,0.005464481,0.00013747,0.000809717,0.016891892,5.82E-05,0.000125644,0,0.002574454,0.001462879,0,0.002894783,0.000247586,0,0,0,0.000499376,0,0.000576901,0.000614704,0,0.000641886,0.000994901,0.01025641,0.000404087,0.0002457,0
AM,0.008588672,0.008930818,0.190600522,0.241261822,0.046528624,0.017766497,0.04993802,0.126163007,0.018229167,0.022266402,0.062709366,0.043715847,0.01012693,0.007287449,0.094594595,0.006984053,0.030028898,0.106382979,0.186472412,0.095330976,0.020942408,0.077568382,0.062267888,0,0.002695418,0.018261074,0.092509363,0.00530504,0.00680743,0.003811163,0.058333333,0.023924841,0.039422957,0,0.054609479,0.011916462,0.062827225
Am,0.011548282,0.004779874,0.028720627,0.004758268,0.171498173,0.005076142,0.008677174,0.025307034,0.005208333,0.003101392,0.004153826,0.005464481,0.018741695,0.008444187,0.003378378,0.004947038,0.001256439,0.018617021,0.099116494,0.055833232,0.005235602,0.014946535,0.029462738,0,0.002695418,0.002768615,0.015605493,0.034482759,0.028671974,0.002335874,0.008333333,0.004609908,0.017037682,0.066666667,0.080182416,0.061547912,0.02617801
Ao,0.000638347,0.005534591,0,0.000352464,0.001218027,0.081218274,0.000177085,0.000868379,0.026041667,0.003419483,0.001607932,0,0.000458232,0.001041064,0.001689189,0.003201024,0.000251288,0,5.85E-05,0.000121907,0,0.000590772,0.000618965,0,0,0.000412347,0.000124844,0,0,0.000491763,0,0.00017506,0.010197737,0.023076923,0.000634994,0.000982801,0.013089005
BM,0.023618849,0.040125786,0,0.05392704,0.010718636,0.063451777,0.244082404,0.046272175,0.018229167,0.068230616,0.131046496,0.032786885,0.008019062,0.010294968,0.123310811,0.01839134,0.059555221,0.031914894,0.011233983,0.007070584,0.136125654,0.186743073,0.095196831,0,0.021563342,0.075223845,0.062921348,0.00265252,0.00669205,0.028768134,0.113888889,0.018264574,0.091779629,0.007692308,0.006811753,0.003685504,0.054973822
Bm,0.004526462,0.018238994,0.057441253,0.079656935,0.060292326,0.025380711,0.004604215,0.166852748,0.005208333,0.011371769,0.026396891,0.010928962,0.009302112,0.004742626,0.018581081,0.003259225,0.004020606,0.002659574,0.02328711,0.00865537,0.005235602,0.098954333,0.055583065,0,0.005390836,0.014726673,0.029463171,0.00265252,0.004211376,0.001229407,0.019444444,0.002742604,0.015918418,0.033333333,0.0276511,0.002457002,0.007853403
Bo,0.000174095,0.010440252,0.023498695,0.000646185,0.000730816,0.015228426,0.00035417,0.001116487,0.088541667,7.95E-05,0.000267989,0.010928962,0.000458232,0.006246385,0.013513514,0.002502619,0.001507727,0,0.000468083,0.000853346,0.002617801,5.91E-05,0.000123793,0,0,0.000589067,0.000124844,0,0.002826814,0.000245881,0,0.000408473,0.000124363,0,0,0.000614251,0
C#M,0.010097493,0.069937107,0.007832898,0.006285614,0.002801462,0.050761421,0.052417213,0.009676219,0.013020833,0.247872763,0.036044486,0.027322404,0.007148421,0.010989011,0,0.016587126,0.122000251,0.015957447,0.007547832,0.004876265,0.117801047,0.009570509,0.006437237,0,0.110512129,0.170240339,0.095131086,0.01061008,0.009230414,0.027046963,0.022222222,0.033378071,0.060067156,0.002564103,0.004733591,0.01044226,0.107329843
