,A#M,A#m,A#o,AM,Am,Ao,BM,Bm,Bo,C#M,C#m,C#o,CM,Cm,Co,D#M,D#m,D#o,DM,Dm,Do,EM,Em,End,Eo,F#M,F#m,F#o,FM,Fm,Fo,G#M,G#m,G#o,GM,Gm,Go
A#M,0.290054715,0.031241244,0.01910828,0.012711864,0.029060293,0.095384615,0.010802671,0.009818836,0.057877814,0.028287665,0.005384385,0.026143791,0.056522401,0.1,0.076604555,0.106105589,0.035404422,0.029411765,0.02408309,0.078961674,0.054313099,0.009053336,0.015042782,0,0.093645485,0.016992353,0.007372374,0.068403909,0.086441112,0.04826546,0.01369863,0.072070906,0.019014573,0.0375,0.037032291,0.094362913,0.02866242
A#m,0.013775346,0.238442141,0.006369427,0.004172099,0.007468767,0.027692308,0.010606259,0.009680542,0.073954984,0.038130709,0.017947951,0.006535948,0.021005632,0.035438144,0.010351967,0.024267458,0.050657711,0.003267974,0.003310613,0.014406089,0.047923323,0.007413239,0.002760144,0,0.036789298,0.037056402,0.013771039,0.016286645,0.014930155,0.04579734,0.003424658,0.047615967,0.039278279,0.015625,0.005445925,0.024962282,0.015923567
A#o,0.000579337,0.000700476,0.044585987,0.000847458,0.00258012,0,0.001309415,0.001382935,0.003215434,0.000177352,0.001495663,0,0.000456644,0.001030928,0.026915114,0.000451788,0.000279877,0.006535948,0.002142162,0.000951345,0,0.002952175,0.001242065,0,0,0.001176394,0.001808318,0,0.000768935,0,0.003424658,0.000517565,0.000138793,0.0375,0.003523834,0.000274311,0
AM,0.010878661,0.009946764,0.057324841,0.29178618,0.031640413,0.018461538,0.053686002,0.102475453,0.009646302,0.031657356,0.083757104,0.08496732,0.030950327,0.008247423,0.078674948,0.008454886,0.015253289,0.081699346,0.102693931,0.034248437,0.031948882,0.087974808,0.047612476,0,0.006688963,0.036468205,0.094728057,0.026058632,0.01755735,0.007130125,0.075342466,0.012615643,0.028174879,0.090625,0.071053306,0.018104512,0.038216561
Am,0.01074992,0.009526478,0.063694268,0.014146023,0.249864204,0.006153846,0.00982061,0.031392615,0.012861736,0.003724395,0.014507927,0.078431373,0.036430057,0.02306701,0.010351967,0.007680392,0.002938707,0.032679739,0.024212918,0.053275347,0.003194888,0.015088893,0.046370411,0,0.006688963,0.005424482,0.024342746,0.016286645,0.038703063,0.013574661,0.01369863,0.00426991,0.007078418,0.028125,0.049013326,0.040323687,0.015923567
Ao,0.001287416,0.001400953,0.003184713,0.000586701,0.000814775,0.055384615,0.000458295,0.001106348,0.035369775,0.00248293,0.001046964,0,0.000456644,0.001417526,0.004140787,0.003033432,0.001399384,0,0.000454398,0.000271813,0.006389776,0.000721643,0,0,0.003344482,0.003725247,0.000278203,0,0.001153403,0.001782531,0,0.000841043,0.002637058,0,0.000512558,0.000274311,0.038216561
BM,0.011908593,0.029420006,0.092356688,0.069947849,0.017925041,0.036923077,0.290755532,0.031807496,0.019292605,0.070586149,0.107089441,0.013071895,0.009741742,0.009536082,0.039337474,0.023944753,0.078925273,0.052287582,0.038169426,0.008290296,0.111821086,0.106015876,0.034087773,0,0.033444816,0.08901379,0.047294478,0.009771987,0.008458285,0.015357192,0.085616438,0.03622954,0.093962526,0.028125,0.016786263,0.007269236,0.070063694
Bm,0.004377213,0.00770524,0.02866242,0.048500652,0.038294405,0.015384615,0.014141679,0.244641128,0.006430868,0.012946706,0.033951541,0.026143791,0.008524025,0.009278351,0.045548654,0.003420679,0.014693535,0.045751634,0.045764362,0.022560478,0.006389776,0.024273437,0.051752691,0,0.003344482,0.015097052,0.046598971,0.006514658,0.007176727,0.002605238,0.04109589,0.005369735,0.024566273,0.015625,0.037672988,0.013578384,0.015923567
Bo,0.000965562,0.00266181,0,0.000521512,0.000135796,0.036923077,0.000523766,0.000691467,0.041800643,0.000354704,0.000897398,0.026143791,0.001065503,0.001546392,0.016563147,0.002194398,0.000419815,0,0.000259656,0.001359065,0.006389776,0.000524831,0.000276014,0,0.006688963,0.000718907,0,0,0.002819428,0.001371178,0,0.003817041,0.000277585,0,0.001153255,0.002057331,0
C#M,0.016157065,0.054777249,0.022292994,0.016623207,0.00448126,0.061538462,0.065798088,0.016871802,0.019292605,0.303538175,0.031109782,0.026143791,0.003653153,0.005670103,0.060041408,0.022266684,0.096837392,0.009803922,0.008893216,0.005843979,0.051118211,0.036278948,0.006486337,0,0.080267559,0.100712372,0.03463625,0.022801303,0.01262335,0.031262855,0.054794521,0.046127968,0.045801527,0.00625,0.006022553,0.006994925,0.073248408
