,A#M,A#m,A#o,AM,Am,Ao,BM,Bm,Bo,C#M,C#m,C#o,CM,Cm,Co,D#M,D#m,D#o,DM,Dm,Do,EM,Em,End,Eo,F#M,F#m,F#o,FM,Fm,Fo,G#M,G#m,G#o,GM,Gm,Go
A#M,0.151581642,0.040260431,0.020114943,0.015736855,0.036054597,0.022284123,0.010542636,0.012059248,0.077586207,0.025230511,0.009503546,0.03030303,0.053899413,0.123336183,0.05380334,0.160450043,0.068754977,0.05,0.023297271,0.093286948,0.040462428,0.00838249,0.021067783,0,0.103550296,0.013674896,0.008311346,0.087719298,0.108638982,0.070036383,0.015337423,0.073149795,0.024845537,0.039548023,0.035233475,0.098439532,0.025936599
A#m,0.010239532,0.120249801,0.005747126,0.005492471,0.008756116,0.08913649,0.014573643,0.007340412,0.117816092,0.047862531,0.007234043,0.006060606,0.022982979,0.032360484,0.00742115,0.046043781,0.057340058,0,0.005347922,0.007602113,0.034682081,0.005898789,0.002747972,0,0.00887574,0.037373925,0.008311346,0.011695906,0.022309791,0.04274948,0.009202454,0.077748482,0.050348363,0.02259887,0.00624621,0.01443433,0.043227666
A#o,0.000304748,0.000664364,0.014367816,0.001234263,0.004893124,0.038997214,0.000434109,0.003145891,0.002873563,0.000335289,0.001560284,0,0.000769305,0.000854805,0.005565863,0.00042803,0.000398195,0,0.002889107,0.001159644,0,0.002111146,0.001046846,0,0.00295858,0.000680651,0.001187335,0.002923977,0.000424371,0,0,0.000551843,0.000788747,0.005649718,0.003759854,0.000520156,0
AM,0.010300482,0.01129418,0.068965517,0.151258948,0.038629925,0.019498607,0.056,0.126491021,0.00862069,0.029086337,0.099716312,0.054545455,0.026204443,0.013310539,0.064935065,0.008438303,0.020042474,0.1,0.158532088,0.066099729,0.046242775,0.109096554,0.069353572,0,0.014792899,0.03421818,0.10171504,0.035087719,0.013519248,0.008575884,0.088957055,0.015451591,0.035887998,0.019774011,0.072468163,0.02496749,0.037463977
Am,0.014749802,0.007307999,0.123563218,0.010676376,0.130569148,0.005571031,0.011410853,0.029623804,0.00862069,0.005532272,0.008085106,0.048484848,0.042936821,0.011356698,0.005565863,0.0063593,0.002920096,0.008823529,0.047147775,0.060945754,0,0.023595157,0.04514525,0,0.01183432,0.006249613,0.014643799,0.043859649,0.037587148,0.008186071,0.012269939,0.005518425,0.009464966,0.087570621,0.078775015,0.050455137,0.023054755
Ao,0.000548546,0.003188945,0.002873563,0.000308566,0.000772599,0.013927577,0.000992248,0.000917551,0.00862069,0.002849958,0.000851064,0,0.000865468,0.001831725,0,0.002262443,0.001061853,0.002941176,0.000430293,0.000386548,0,0.000372555,0,0,0,0.003836396,0.000527704,0,0.000666869,0.001169439,0.003067485,0.001410264,0.004995399,0.042372881,0.000545785,0.000780234,0.005763689
BM,0.015481197,0.036008504,0.020114943,0.071895828,0.024465619,0.036211699,0.15075969,0.038930397,0.020114943,0.074350377,0.135886525,0.018181818,0.008847005,0.011600928,0.044526902,0.022991317,0.093841253,0.041176471,0.030981067,0.013142636,0.086705202,0.159143123,0.065951322,0,0.047337278,0.110389209,0.06939314,0.011695906,0.008305547,0.020140333,0.107361963,0.033846343,0.102011305,0.031073446,0.013341419,0.008322497,0.089337176
Bm,0.005485464,0.009433962,0.08908046,0.078807702,0.048544939,0.022284123,0.010418605,0.125311312,0.00862069,0.015507125,0.03177305,0.012121212,0.011203,0.006838442,0.081632653,0.005319799,0.007963897,0.032352941,0.053233342,0.011467594,0.005780347,0.047562869,0.058361685,0,0,0.023142132,0.04525066,0.00877193,0.005819945,0.002858628,0.009202454,0.006315531,0.014328908,0.039548023,0.037355973,0.008322497,0.011527378
Bo,0.001401841,0.005049163,0.040229885,0.000555418,0.000772599,0.005571031,0.000248062,0.000655394,0.014367816,0.000838223,0.000992908,0.012121212,0.000528897,0.003052876,0.003710575,0.002935062,0.001592779,0,0.000184411,0.001417343,0,0.000186278,0.000392567,0,0,0.000371264,0,0,0.00218248,0.001039501,0.003067485,0.003801582,0.000525831,0,0.000606428,0.001170351,0.002881844
C#M,0.017736332,0.070023917,0.025862069,0.012589484,0.006695854,0.072423398,0.068527132,0.02254555,0.002873563,0.164375524,0.036028369,0.036363636,0.005433215,0.010379778,0.012987013,0.017304635,0.120387576,0.008823529,0.009343496,0.00618477,0.043352601,0.028935113,0.011384454,0,0.085798817,0.14807252,0.065831135,0.020467836,0.010730524,0.037162162,0.021472393,0.053344779,0.067043513,0.005649718,0.004487568,0.008582575,0.09221902
C#m,0.003596026,0.010364071,0.040229885,0.037151321,0.007725985,0.008356546,0.076341085,0.048761306,0.00862069,0.013076278,0.135602837,0.012121212,0.00341379,0.003541336,0.055658627,0.00849945,0.029466419,0.008823529,0.013830834,0.005927071,0.11849711,0.050977957,0.011384454,0,0.00591716,0.045541736,0.057519789,0,0.002303728,0.004158004,0.033742331,0.018823962,0.043381096,0.002824859,0.004851425,0.001560468,0.008645533
C#o,0.000365698,0.000132873,0,0.000678845,0.001158898,0,0.000434109,0.000786473,0.005747126,0.000335289,0.00070922,0.012121212,0.000721223,0.000610575,0.012987013,0.000305736,0.000929121,0.008823529,0.000307352,0.001932741,0.002890173,0.00024837,0.001046846,0,0,0.000433142,0.000395778,0,0.001151864,0.000519751,0,0.000122632,0,0,0.001455428,0.000130039,0
CM,0.089778753,0.05740101,0.045977011,0.036287336,0.104043266,0.044568245,0.019906977,0.038406082,0.048850575,0.005951383,0.00964539,0.084848485,0.157082412,0.067529613,0.033395176,0.069096246,0.020838864,0.088235294,0.057597738,0.132328308,0.034682081,0.026265135,0.095524732,0,0.044378698,0.019429491,0.023218997,0.128654971,0.175083359,0.124220374,0.049079755,0.070022687,0.01169975,0.096045198,0.112613705,0.08023407,0.014409222
Cm,0.082342902,0.055142174,0.025862069,0.006973587,0.014679372,0.04735376,0.008248062,0.010093066,0.106321839,0.005616094,0.002978723,0.024242424,0.017790172,0.123091953,0.077922078,0.056561086,0.01314043,0.005882353,0.011863782,0.030795001,0.011560694,0.006395529,0.007851348,0,0.032544379,0.007054019,0.003166227,0.00877193,0.049530161,0.062110187,0,0.041388191,0.009333509,0.016949153,0.023832626,0.046163849,0.008645533
Co,0.004022673,0.001195854,0.005747126,0.003826216,0.000901365,0.002785515,0.00124031,0.004980994,0.040229885,0.000586756,0.003404255,0,0.000576979,0.004762486,0.027829314,0.000978354,0.001460048,0,0.001106467,0.002190439,0.00867052,0.002918348,0.001701125,0,0,0.00210383,0.001055409,0.002923977,0.002485602,0.001299376,0,0.000919738,0.001183121,0.002824859,0.000909642,0.000910273,0.002881844
