,A#M,A#m,A#o,AM,Am,Ao,BM,Bm,Bo,C#M,C#m,C#o,CM,Cm,Co,D#M,D#m,D#o,DM,Dm,Do,EM,Em,End,Eo,F#M,F#m,F#o,FM,Fm,Fo,G#M,G#m,G#o,GM,Gm,Go
C#m,0.001980792,0.011822788,0.025423729,0.03428363,0.008055381,0.008219178,0.085689855,0.062940649,0.025352113,0.011136776,0.225453538,0,0.002605647,0.004061156,0.016393443,0.005720824,0.03142041,0.002890173,0.011743341,0.004284274,0.04815864,0.037972362,0.015093374,0,0.005797101,0.021753702,0.050961166,0.005747126,0.00161194,0.00584127,0.012048193,0.01352657,0.039326565,0,0.004240578,0.001778455,0.025495751
C#o,0.000360144,0.000259841,0,0.000547079,0.000629327,0.002739726,0.000549685,0.000640943,0.002816901,0.000164989,0.000415455,0.047904192,0.000805382,0.000119446,0.018214936,0.000301096,0.000519346,0.014450867,0.000605327,0.000378024,0,0.000794913,0.00063955,0,0,0.000365608,0.000258031,0.002873563,0.000597015,0.000126984,0,6.04E-05,0.000257036,0.002777778,0.002090426,0.00101626,0
CM,0.090096038,0.047291152,0.025423729,0.03428363,0.083322845,0.02739726,0.023819703,0.039353929,0.064788732,0.004124732,0.006647279,0.02994012,0.236877013,0.068681319,0.018214936,0.052029387,0.012594131,0.069364162,0.050726392,0.120211694,0.025495751,0.02928947,0.07879253,0,0.069565217,0.018219487,0.023093794,0.189655172,0.170925373,0.099174603,0.048192771,0.068357488,0.010152937,0.15,0.095681777,0.059578252,0.02266289
Cm,0.091896759,0.073015461,0.050847458,0.004315847,0.018250472,0.032876712,0.007878825,0.012690681,0.045070423,0.003629764,0.002077275,0,0.015823384,0.210105112,0.038251366,0.04131037,0.018566606,0.00867052,0.008656174,0.034022177,0.005665722,0.004402593,0.010360706,0,0.011594203,0.005179453,0.003612437,0.025862069,0.023880597,0.056634921,0.003012048,0.037077295,0.010281455,0.011111111,0.01666368,0.042682927,0.002832861
Co,0.00180072,0.000909445,0.005649718,0.001580451,0.000629327,0.005479452,0.001221523,0.002435585,0.053521127,0.001154925,0.00055394,0.011976048,0.000379003,0.002627807,0.051001821,0.001324822,0.000649182,0.005780347,0.001089588,0.00063004,0.019830028,0.004586034,0.00076746,0,0.005797101,0.004265432,0.001677203,0,0.004835821,0.001142857,0.003012048,0.000905797,0.000771109,0.011111111,0.002209879,0.00101626,0.005665722
D#M,0.091896759,0.049369884,0.014124294,0.007719895,0.02152297,0.17260274,0.014047517,0.007178567,0.143661972,0.049579277,0.010940313,0.005988024,0.053865833,0.082417582,0.032786885,0.233349392,0.03648403,0.014450867,0.018765133,0.037676411,0.062322946,0.009783539,0.008058327,0,0.049275362,0.022789592,0.008256999,0.066091954,0.047641791,0.116571429,0.021084337,0.157487923,0.055134302,0.041666667,0.027294989,0.075711382,0.059490085
D#m,0.016266507,0.04001559,0.002824859,0.00425506,0.002769037,0.024657534,0.034752336,0.00884502,0.005633803,0.103283287,0.063841573,0.035928144,0.012317605,0.02173913,0.038251366,0.008912441,0.217735653,0.002890173,0.004600484,0.010458669,0.025495751,0.011984836,0.005372218,0,0.049275362,0.038206081,0.016126951,0.005747126,0.008059701,0.032,0.006024096,0.021980676,0.05025061,0.005555556,0.003822493,0.009527439,0.011331445
D#o,0.000360144,0.000259841,0.005649718,0.004194274,0.001510384,0,0.000610762,0.000769132,0.008450704,0.000329979,0.000692425,0.011976048,0.001184385,0.000358337,0,0.000180658,0.000389509,0.040462428,0.001150121,0.002268145,0.050991501,0.000794913,0.00051164,0,0.005797101,0.000792152,0.000645078,0.005747126,0.000716418,0.000507937,0.015060241,0.000785024,0.000257036,0.002777778,0.00453921,0.000762195,0
DM,0.013985594,0.007145641,0.144067797,0.093732904,0.048080554,0.01369863,0.031881757,0.081912575,0.01971831,0.021613595,0.039052763,0.065868263,0.059929884,0.015647396,0.02003643,0.009695291,0.007660348,0.026011561,0.231598063,0.038054435,0.014164306,0.049406873,0.117805065,0,0.020289855,0.026323807,0.07702232,0.043103448,0.022925373,0.008253968,0.069277108,0.007427536,0.021591055,0.155555556,0.154631786,0.054115854,0.042492918
Dm,0.034693878,0.00870469,0.008474576,0.016230016,0.041535557,0.002739726,0.004092103,0.017561851,0.030985915,0.002887312,0.008447583,0.047904192,0.073337123,0.064022934,0.034608379,0.012344936,0.005453129,0.052023121,0.009200969,0.21421371,0.002832861,0.008438303,0.033768227,0,0.005797101,0.003960758,0.010321249,0.011494253,0.039223881,0.015746032,0.003012048,0.004830918,0.003084436,0.025,0.022277967,0.051702236,0.005665722
Do,0.00060024,0.000649604,0.008474576,0.000303933,0.000251731,0.005479452,0.001404752,0.000512755,0,0.00107243,0.002631215,0.05988024,0.000758006,0.000597229,0.018214936,0.00078285,0.000519346,0.005780347,0.000242131,0.000378024,0.039660057,0.00085606,0.00051164,0,0.014492754,0.00463104,0.000774094,0,0.000895522,0.000634921,0.006024096,0.003985507,0.001799255,0,0.000597265,0.000254065,0.002832861
EM,0.007503001,0.021826686,0.15819209,0.154519482,0.053492763,0.04109589,0.093690832,0.048198949,0.016901408,0.040422373,0.086553109,0.02994012,0.012743983,0.006927855,0.094717668,0.018125979,0.037392885,0.052023121,0.072154964,0.014616935,0.02266289,0.23290938,0.036454336,0,0.011594203,0.048747791,0.116372081,0.017241379,0.009373134,0.007492063,0.027108434,0.026449275,0.076853875,0.061111111,0.022636326,0.008384146,0.07082153
Em,0.004681873,0.002858256,0.025423729,0.022126315,0.050975456,0.005479452,0.016612716,0.041404948,0.002816901,0.00445471,0.017449107,0.053892216,0.027714611,0.008838987,0.010928962,0.004396001,0.010906258,0.026011561,0.089527845,0.065650202,0.045325779,0.008805185,0.214249169,0,0.002898551,0.008835537,0.032511934,0.005747126,0.012238806,0.004952381,0.054216867,0.004045894,0.009638864,0.011111111,0.03804575,0.015752033,0.005665722
End,0.000540216,0.000909445,0.005649718,0.000851012,0.000881057,0.005479452,0.000671838,0.00102551,0.005633803,0.000824946,0.000969395,0.011976048,0.00061588,0.00083612,0.003642987,0.00072263,0.000908855,0.005780347,0.000605327,0.000882056,0.005665722,0.000794913,0.00089537,1,0.008695652,0.000670282,0.000903109,0.005747126,0.000537313,0.000888889,0.006024096,0.000664251,0.000899627,0.005555556,0.000656991,0.000889228,0.005665722
Eo,0.004141657,0.00181889,0,0.000607866,0.000251731,0.002739726,0.000427533,0.000256377,0.002816901,0.001732387,0.000415455,0,0.000663256,0.000716675,0.005464481,0.001144165,0.002466892,0.028901734,0.000302663,0.00063004,0.005665722,0.000183441,0.00038373,0,0.04057971,0.000670282,0.000516062,0.014367816,0.000895522,0.001015873,0.006024096,0.004528986,0.000514073,0,0.000776444,0.000635163,0.005665722
F#M,0.026890756,0.076783162,0.062146893,0.022247888,0.008055381,0.063013699,0.156965736,0.055377516,0.047887324,0.120607161,0.05207035,0.023952096,0.008717074,0.020664118,0.103825137,0.031976394,0.080109063,0.020231214,0.014225182,0.006930444,0.144475921,0.072703926,0.014581734,0,0.023188406,0.233562854,0.036511418,0.014367816,0.017731343,0.037206349,0.054216867,0.048611111,0.116437476,0.016666667,0.009556232,0.007621951,0.025495751
F#m,0.003961585,0.010003898,0.011299435,0.038477904,0.015733166,0.005479452,0.02180419,0.050890911,0.005633803,0.022191058,0.043484282,0.005988024,0.003600531,0.003344482,0.016393443,0.003673371,0.017917424,0.031791908,0.034806295,0.008820565,0.008498584,0.089580531,0.063699156,0,0.046376812,0.008896472,0.215198039,0.002873563,0.004358209,0.010285714,0.030120482,0.008272947,0.033671765,0.005555556,0.011945291,0.004954268,0.050991501
F#o,0.004381753,0.000649604,0,0.000790226,0.000629327,0.005479452,0.000610762,0.000256377,0.002816901,8.25E-05,0.00027697,0.005988024,0.003553155,0.001672241,0.001821494,0.00150548,0.000519346,0,0.000605327,0.000756048,0.008498584,0.000611471,0.00063955,0,0.005797101,0.000182804,0.000387047,0.040229885,0.001134328,0.002285714,0.030120482,0.000845411,0.000514073,0.013888889,0.00083617,0.00050813,0.011331445
FM,0.155942377,0.055736001,0.036723164,0.026928454,0.078665828,0.060273973,0.007390216,0.021792078,0.157746479,0.009651873,0.003600609,0.047904192,0.079922304,0.049689441,0.087431694,0.071841503,0.014541677,0.023121387,0.032869249,0.082913306,0.019830028,0.018649872,0.038372985,0,0.052173913,0.009323015,0.007740937,0.025862069,0.234208955,0.036444444,0.015060241,0.022705314,0.0084822,0.069444444,0.049692409,0.118267276,0.016997167
Fm,0.022088836,0.052358062,0.005649718,0.003768768,0.010320957,0.010958904,0.004519636,0.003076529,0.025352113,0.018808777,0.006647279,0.005988024,0.030178132,0.041447683,0.005464481,0.090930989,0.064009348,0.043352601,0.003813559,0.018397177,0.031161473,0.004341446,0.010744436,0,0.028985507,0.011272927,0.005160624,0.051724138,0.008656716,0.215111111,0.003012048,0.038647343,0.015422182,0.005555556,0.008481156,0.033663618,0.005665722
Fo,0.000420168,0.000259841,0.002824859,0.00461978,0.000755192,0,0.004092103,0.001794642,0,0.000824946,0.00055394,0.011976048,0.000189502,0.000119446,0.005464481,0.000662411,0.000649182,0.005780347,0.001513317,0.000504032,0,0.001161795,0.002430289,0,0.005797101,0.000792152,0.000516062,0.005747126,0.000179104,0.000253968,0.042168675,0.000785024,0.000642591,0.005555556,0.00083617,0.00050813,0.014164306
G#M,0.049639856,0.116019228,0.016949153,0.009543493,0.007426054,0.024657534,0.023025713,0.008460454,0.064788732,0.116482429,0.049577621,0.035928144,0.07532689,0.082417582,0.058287796,0.093460195,0.047909634,0.014450867,0.00720339,0.021421371,0.147308782,0.014247279,0.006907137,0,0.133333333,0.07342636,0.015094826,0.020114943,0.032,0.083428571,0.021084337,0.232910628,0.035985092,0.013888889,0.018933286,0.038617886,0.045325779
G#m,0.008583433,0.033649474,0.005649718,0.012157316,0.005160478,0.049315068,0.03835583,0.015254455,0.005633803,0.02846065,0.05234732,0.011976048,0.004026909,0.011227903,0.007285974,0.016198964,0.04154765,0.002890173,0.004479419,0.002898185,0.025495751,0.0350373,0.009081607,0,0.008695652,0.089391262,0.06553993,0.045977011,0.003940299,0.017015873,0.03313253,0.008695652,0.216553142,0.002777778,0.004419758,0.010924797,0.028328612
G#o,0.000840336,0.000519683,0.014124294,0.000851012,0.000503461,0.005479452,0.00079399,0.000640943,0.005633803,0.000247484,0.000138485,0.005988024,0.003932158,0.00083612,0,0.000361315,0.000259673,0.005780347,0.004297821,0.001764113,0,0.000611471,0.00076746,0,0.014492754,0.000609347,0.000645078,0.005747126,0.001492537,0.000507937,0,0.000181159,0.000385555,0.038888889,0.001134803,0.002413618,0.050991501
GM,0.022989196,0.008444849,0.064971751,0.049480275,0.116299559,0.019178082,0.026690283,0.076656839,0.061971831,0.007259528,0.022019111,0.19760479,0.127155581,0.05255614,0.074681239,0.014633265,0.007141002,0.150289017,0.093401937,0.049017137,0.014164306,0.032102238,0.081734459,0,0.020289855,0.018463226,0.03793059,0.054597701,0.073014925,0.015619048,0.024096386,0.010024155,0.007454055,0.025,0.234605507,0.036585366,0.014164306
Gm,0.038355342,0.016759777,0.005649718,0.008145401,0.03285085,0.005479452,0.004092103,0.009998718,0.011267606,0.002062366,0.00193879,0.011976048,0.019471291,0.049689441,0.016393443,0.033963628,0.008569203,0.011560694,0.016767554,0.041456653,0.002832861,0.003974563,0.017267843,0,0.031884058,0.004509171,0.010708296,0.028735632,0.090626866,0.066539683,0.045180723,0.012137681,0.005397764,0.05,0.008958968,0.214684959,0.002832861
Go,0.000780312,0.000649604,0.005649718,0.000851012,0.000503461,0.01369863,0.004702864,0.000769132,0,0.004867184,0.00193879,0,0.000805382,0.000238892,0.001821494,0.000662411,0.000779018,0.00867052,0.000363196,0.000252016,0.005665722,0.001528678,0.00051164,0,0,0.001035891,0.002451297,0.051724138,0.000597015,0.000634921,0.006024096,0.000845411,0.000514073,0.005555556,0.000179179,0.000381098,0.039660057
