,A#M,A#m,A#o,AM,Am,Ao,BM,Bm,Bo,C#M,C#m,C#o,CM,Cm,Co,D#M,D#m,D#o,DM,Dm,Do,EM,Em,End,Eo,F#M,F#m,F#o,FM,Fm,Fo,G#M,G#m,G#o,GM,Gm,Go
A#M,0.232953181,0.037677017,0.014124294,0.018600693,0.038137193,0.049315068,0.009650034,0.007947699,0.036619718,0.016663917,0.004985459,0.017964072,0.047233276,0.112279025,0.049180328,0.156630134,0.055180473,0.043352601,0.026937046,0.077242944,0.062322946,0.007398802,0.022000512,0,0.165217391,0.014441533,0.007095859,0.140804598,0.092597015,0.049142857,0.015060241,0.072524155,0.015036628,0.030555556,0.03267037,0.079776423,0.014164306
A#m,0.008943577,0.208782643,0.002824859,0.00461978,0.010824418,0.030136986,0.012154156,0.005512114,0.045070423,0.032585382,0.009001523,0.005988024,0.018097404,0.037267081,0.005464481,0.021438034,0.049727344,0.005780347,0.003995157,0.009576613,0.011331445,0.004586034,0.003069839,0,0.026086957,0.034062519,0.008773062,0.00862069,0.015880597,0.039492063,0.003012048,0.088888889,0.065801311,0.044444444,0.003941946,0.017911585,0.031161473
A#o,0.000180072,0.000389762,0.039548023,0.001154945,0.002265576,0.049315068,0.000855066,0.000512755,0.005633803,0.000989936,0.000692425,0.011976048,0.000710631,0.000477783,0.009107468,0.000602192,0.000259673,0.002890173,0.004539952,0.000756048,0,0.004096857,0.001790739,0,0,0.000609347,0.000774094,0.00862069,0.000358209,0.000253968,0.006024096,0.000664251,0.000642591,0.005555556,0.001493161,0.00050813,0
AM,0.009603842,0.007925166,0.025423729,0.232143943,0.035494021,0.01369863,0.049593844,0.116908089,0.014084507,0.032667877,0.081706135,0.095808383,0.019802918,0.009197324,0.052823315,0.007406961,0.021293171,0.161849711,0.155690073,0.05405746,0.042492918,0.091904121,0.048605782,0,0.011594203,0.031807934,0.081924913,0.025862069,0.014149254,0.00647619,0.144578313,0.018176329,0.038041383,0.05,0.072866272,0.015243902,0.019830028
Am,0.012364946,0.00519683,0.050847458,0.009117987,0.220264317,0.002739726,0.008245282,0.033970004,0.005633803,0.004042237,0.009970918,0.017964072,0.031552018,0.015289059,0.005464481,0.004817536,0.003116074,0.026011561,0.022033898,0.051285282,0.005665722,0.016754311,0.041442824,0,0.002898551,0.004021693,0.017159076,0.031609195,0.034626866,0.008888889,0.006024096,0.004589372,0.010795528,0.027777778,0.089589679,0.066056911,0.045325779
Ao,0.000960384,0.000649604,0.005649718,0.00018236,0.000377596,0.038356164,0.000855066,0.000512755,0.014084507,0.005939614,0.00055394,0,0.000805382,0.00083612,0.003642987,0.004215344,0.001947546,0,0.00066586,0.000252016,0.002832861,0.000366883,0.00025582,0,0.005797101,0.001523368,0.000516062,0,0.000656716,0.000888889,0.009036145,0.001147343,0.002441846,0.05,0.000597265,0.000635163,0.005665722
BM,0.017887155,0.037806938,0.050847458,0.072396815,0.015103839,0.021917808,0.231967263,0.0362774,0.014084507,0.064263323,0.124082537,0.023952096,0.008906576,0.008361204,0.018214936,0.025834036,0.077122825,0.063583815,0.023062954,0.007938508,0.065155807,0.155313685,0.054489639,0,0.043478261,0.094083237,0.04760676,0.014367816,0.007223881,0.022222222,0.165662651,0.032125604,0.081480529,0.019444444,0.013916264,0.006859756,0.144475921
Bm,0.004621849,0.010783422,0.028248588,0.090450429,0.063436123,0.043835616,0.00891712,0.213305986,0.002816901,0.010806798,0.035729123,0.005988024,0.009617207,0.004897277,0.034608379,0.004094905,0.009997403,0.011560694,0.038680387,0.015246976,0.005665722,0.022440993,0.050396521,0,0.005797101,0.016574249,0.041930074,0.002873563,0.004537313,0.002920635,0.027108434,0.00410628,0.01773551,0.027777778,0.034282984,0.008638211,0.008498584
Bo,0.001080432,0.002598415,0.050847458,0.000607866,0.000629327,0.005479452,0.000183228,0.000384566,0.03943662,0.000494968,0.00055394,0.011976048,0.001042259,0.000716675,0.009107468,0.004636878,0.000779018,0,0.00066586,0.000756048,0.005665722,0.000366883,0.00025582,0,0,0.000365608,0.000129016,0.005747126,0.004298507,0.001777778,0,0.001449275,0.000514073,0,0.000597265,0.000762195,0.008498584
C#M,0.015726291,0.049499805,0.019774011,0.013312261,0.004405286,0.131506849,0.067183778,0.013972568,0.005633803,0.253588517,0.031990029,0.02994012,0.005732424,0.009077879,0.032786885,0.020113212,0.112957673,0.011560694,0.008414044,0.003402218,0.016997167,0.021218051,0.007290867,0,0.066666667,0.145634026,0.053154432,0.014367816,0.013373134,0.031619048,0.039156627,0.03955314,0.045238401,0.008333333,0.004300305,0.010670732,0.150141643
