,-2,-1,73,76,80,83
-2,0.47058823529411764,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0
-1,0.17647058823529413,0.0,0.0,0.0,0.0,0.0
73,0.11764705882352941,0.0,0.3333333333333333,0.0,0.0,0.0
76,0.11764705882352941,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
80,0.058823529411764705,0.0,0.0,0.0,0.3333333333333333,1.0
83,0.058823529411764705,0.0,0.0,0.0,0.0,0.0
