,-2,68,74,75,77,78
-2,0.76,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0
68,0.04,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
74,0.08,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
75,0.04,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
77,0.04,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
78,0.04,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
